Model,Best Parameters,CV Accuracy,Train Accuracy,Test Accuracy,Test Precision (Macro),Test Recall (Macro),Test F1 (Macro)
SVM,"{'C': 1, 'kernel': 'linear'}",0.9833333333333334,0.9833333333333333,1.0,1.0,1.0,1.0
Decision Tree,{'max_depth': 3},0.9583333333333334,0.9833333333333333,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
Random Forest,"{'max_depth': 2, 'n_estimators': 200}",0.9666666666666668,0.9666666666666667,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332
